EntryDate,EntryPrice,ExitDate,ExitPrice,Symbol,R,Qty,Pnl
2025-08-18,257.56,2025-09-16,278.85,AUTOBEES,2.5812765220403637,121,2576.0900000000024
2025-08-18,124.08,2025-09-16,127.5,AXISCETF,1.3536895674300282,395,1350.9000000000008
2025-06-06,581.94,2025-07-04,586.31,BANKBEES,0.4735477379155399,108,471.9599999999882
2025-06-06,570.88,2025-07-04,577.24,BANKETF,0.7457286432160886,117,744.1200000000016
2025-09-01,92.29,2025-09-29,102.5,BSLGOLDETF,2.780663359595387,272,2777.119999999998
2025-04-02,60.89,2025-05-06,61.77,GILT5YBEES,1.0722367275892448,1218,1071.840000000003
2025-04-11,77.9,2025-05-14,78.58,GOLDBEES,0.17802711547451974,261,177.47999999999809
2025-09-01,86.61,2025-09-29,95.9,GOLDBEES,3.2596491228070423,350,3251.5000000000023
2025-11-19,40.75,2025-12-17,41.83,ITIETF,0.9341983317887138,864,933.1199999999985
2025-06-09,279.47,2025-07-07,281.46,LICNETFN50,0.3068450905886816,154,306.45999999999265
2025-06-20,1466.2,2025-07-18,1476.0,RELIANCE,0.290094090284384,29,284.1999999999987
2025-05-20,131.85,2025-06-17,131.17,SDL26BEES,-0.40735986307232785,599,-407.3200000000041
2025-06-26,947.82,2025-07-24,936.46,SENSEXIETF,-0.6485604763069922,57,-647.5200000000008
